Barcode,Owning Campus,Material Type,...4,Campus...5,Items added,...7,Num of Items (In Repository),Campus...9,Barcode_Prefix
A0001475169,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001483874,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001495530,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001507565,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001508258,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001508993,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001510155,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001512961,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001514819,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001519354,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001526219,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001526466,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001526581,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001528900,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001530559,UCR Library,Book,NA,NA,NA,NA,NA,NA,A
A0001546852,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001581362,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001599083,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001599182,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001599190,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001604362,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001617596,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001627256,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001629401,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001653765,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001654953,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001676097,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001681725,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001681865,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001700624,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001718287,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001718386,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001725662,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001727148,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001727312,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001742840,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001742931,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001743194,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001743764,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001743814,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001744069,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001744184,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001744325,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001773795,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001776632,UCR Library,Book,NA,NA,NA,NA,NA,NA,A
A0001776673,UCR Library,Book,NA,NA,NA,NA,NA,NA,A
A0001776699,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001776756,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001780881,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001781921,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001782218,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001785716,UCR Library,Book,NA,NA,NA,NA,NA,NA,A
A0001796168,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001796671,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001796879,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001797455,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001797463,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001798255,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001802073,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001802420,UCLA,Book,NA,NA,NA,NA,NA,NA,A
